idCliente,nombre,email,telefono,saldoPuntos,idCuentaPuntos
990e8400-e29b-41d4-a716-446655440001,Juan Perez,juan@gmail.com,3001112233,150,aa0e8400-e29b-41d4-a716-446655440001
990e8400-e29b-41d4-a716-446655440002,Ana Lopez,ana@gmail.com,3001112234,80,aa0e8400-e29b-41d4-a716-446655440002
990e8400-e29b-41d4-a716-446655440003,Carlos Diaz,carlos@gmail.com,3001112235,200,aa0e8400-e29b-41d4-a716-446655440003
990e8400-e29b-41d4-a716-446655440004,Sofia Ruiz,sofia@gmail.com,3001112236,50,aa0e8400-e29b-41d4-a716-446655440004
990e8400-e29b-41d4-a716-446655440005,Pedro Mora,pedro@gmail.com,3001112237,120,aa0e8400-e29b-41d4-a716-446655440005
990e8400-e29b-41d4-a716-446655440006,Lina Castro,lina@gmail.com,3001112238,300,aa0e8400-e29b-41d4-a716-446655440006
990e8400-e29b-41d4-a716-446655440007,David Torres,david@gmail.com,3001112239,20,aa0e8400-e29b-41d4-a716-446655440007
990e8400-e29b-41d4-a716-446655440008,Paula Silva,paula@gmail.com,3001112240,500,aa0e8400-e29b-41d4-a716-446655440008
990e8400-e29b-41d4-a716-446655440009,Andres Vega,andres@gmail.com,3001112241,0,aa0e8400-e29b-41d4-a716-446655440009
990e8400-e29b-41d4-a716-446655440010,Camila Gomez,camila@gmail.com,3001112242,60,aa0e8400-e29b-41d4-a716-446655440010
